ProductID,CategoryID,BrandID,SpecificationID,UniqueID,ModelID,CategoryName,BrandName,SpecificationName,UniqueFeature,Price,Stock,Category,Brand,Feature
B000QBPWKQ,B000,Q,QB,QBP,WKQ,Smartphones,Qualcomm,Orange,Performance Mode,2255.93,451,B000,Q,P
B000POFA1A,B000,P,PO,POF,A1A,Smartphones,Panasonic,Champagne,Biometric Security,2600.66,259,B000,P,F
B0004I163S,B000,4,4I,4I1,63S,Smartphones,Dell,Charcoal,Wireless Charging,1513.76,229,B000,4,1
B000Z9PGFA,B000,Z,Z9,Z9P,GFA,Smartphones,Zeiss,Brown,Performance Mode,2653.3,290,B000,Z,P
B000U10X10,B000,U,U1,U10,X10,Smartphones,Ulefone,White,Standard,138.85,288,B000,U,0
B00005134L,B000,0,05,051,34L,Smartphones,Generic,Blue,Wireless Charging,772.93,252,B000,0,1
B000LNFZVA,B000,L,LN,LNF,ZVA,Smartphones,LG,Pearl,Biometric Security,2420.65,199,B000,L,F
B000K50HH6,B000,K,K5,K50,HH6,Smartphones,Kodak,Blue,Standard,862.0,361,B000,K,0
B000UFQYFU,B000,U,UF,UFQ,YFU,Smartphones,Ulefone,Teal,Quantum Display,1942.56,494,B000,U,Q
B000G62F88,B000,G,G6,G62,F88,Smartphones,GoPro,Green,High Refresh Rate,873.41,33,B000,G,2
B000FKP4ME,B000,F,FK,FKP,4ME,Smartphones,Fujifilm,Rose Gold,Performance Mode,2554.17,420,B000,F,P
B00005KJUG,B000,0,05,05K,JUG,Smartphones,Generic,Blue,Kinetic Charging,2347.8,99,B000,0,K
B000AORR3Y,B000,A,AO,AOR,R3Y,Smartphones,Google,Champagne,Rugged Design,972.97,471,B000,A,R
B000PCY5SQ,B000,P,PC,PCY,5SQ,Smartphones,Panasonic,Cyan,Yoga Mode,860.48,129,B000,P,Y
B000BWZ33G,B000,B,BW,BWZ,33G,Smartphones,Unknown,Onyx,Zero Latency,879.96,219,B000,B,Z
B000WMW7KC,B000,W,WM,WMW,7KC,Smartphones,Western Digital,Burgundy,Waterproof,1373.86,403,B000,W,W
B000CPYWI4,B000,C,CP,CPY,WI4,Smartphones,Canon,Coral,Yoga Mode,651.66,187,B000,C,Y
B000A3ZGM4,B000,A,A3,A3Z,GM4,Smartphones,Google,Gold,Zero Latency,1281.65,475,B000,A,Z
B000QYZZFK,B000,Q,QY,QYZ,ZFK,Smartphones,Qualcomm,Olive,Zero Latency,685.03,72,B000,Q,Z
B000GB1NUO,B000,G,GB,GB1,NUO,Smartphones,GoPro,Orange,Wireless Charging,2151.02,362,B000,G,1
B000KBH1D8,B000,K,KB,KBH,1D8,Smartphones,Kodak,Orange,Metal Build,1817.95,208,B000,K,H
B000S5KJ8K,B000,S,S5,S5K,J8K,Smartphones,Sharp,Blue,Kinetic Charging,750.24,442,B000,S,K
B000HCN3J6,B000,H,HC,HCN,3J6,Smartphones,Huawei,Cyan,Noise Reduction,1931.26,23,B000,H,N
B000XOQ084,B000,X,XO,XOQ,084,Smartphones,Xiaomi,Champagne,Quantum Display,2801.07,477,B000,X,Q
B000S5D99Q,B000,S,S5,S5D,99Q,Smartphones,Sharp,Blue,Gaming Optimized,519.77,37,B000,S,D
B000MSZQI6,B000,M,MS,MSZ,QI6,Smartphones,Motorola,Turquoise,Zero Latency,1783.69,235,B000,M,Z
B0002T5YB4,B000,2,2T,2T5,YB4,Smartphones,Samsung,Amber,Noise Cancellation,1550.8,271,B000,2,5
B000U3EDVY,B000,U,U3,U3E,DVY,Smartphones,Ulefone,Gold,Smart Assistant,426.04,216,B000,U,E
B0007R4O6C,B000,7,7R,7R4,O6C,Smartphones,Asus,Titanium,HDR Support,765.97,34,B000,7,4
B0000A55F7,B000,0,0A,0A5,5F7,Smartphones,Generic,Beige,Noise Cancellation,2130.86,137,B000,0,5
B000ICLGNA,B000,I,IC,ICL,GNA,Smartphones,Intel,Cyan,Long Battery Life,2553.07,48,B000,I,L
B000PGCBZG,B000,P,PG,PGC,BZG,Smartphones,Panasonic,Magenta,AI-enhanced,1314.04,346,B000,P,C
B000J3I66S,B000,J,J3,J3I,66S,Smartphones,JBL,Gold,Graphene Battery,1560.65,110,B000,J,I
B000BCJVN4,B000,B,BC,BCJ,VN4,Smartphones,Unknown,Cyan,JBL-Tuned Audio,516.21,452,B000,B,J
B000F31KLA,B000,F,F3,F31,KLA,Smartphones,Fujifilm,Gold,Wireless Charging,2831.99,441,B000,F,1
B000FNS52M,B000,F,FN,FNS,52M,Smartphones,Fujifilm,Pearl,Stereo Speakers,2527.17,309,B000,F,S
B000V6R4CK,B000,V,V6,V6R,4CK,Smartphones,Vivo,Green,Rugged Design,2082.71,23,B000,V,R
B00020YZFO,B000,2,20,20Y,ZFO,Smartphones,Samsung,Black,Yoga Mode,1309.49,229,B000,2,Y
B00077D42W,B000,7,77,77D,42W,Smartphones,Asus,Purple,Gaming Optimized,2396.16,397,B000,7,D
B000PF9QQ4,B000,P,PF,PF9,QQ4,Smartphones,Panasonic,Teal,Pro Camera System,2645.66,329,B000,P,9
B000100CMK,B000,1,10,100,CMK,Smartphones,Apple,Black,Standard,1165.84,102,B000,1,0
B000BKTPRI,B000,B,BK,BKT,PRI,Smartphones,Unknown,Rose Gold,Temperature Sensor,2724.64,449,B000,B,T
B00026V8N0,B000,2,26,26V,8N0,Smartphones,Samsung,Green,Voice Control,225.6,75,B000,2,V
B000BC1F7O,B000,B,BC,BC1,F7O,Smartphones,Unknown,Cyan,Wireless Charging,245.84,386,B000,B,1
B000OBMX00,B000,O,OB,OBM,X00,Smartphones,OnePlus,Orange,MagSafe Compatible,1982.69,343,B000,O,M
B00080H63Q,B000,8,80,80H,63Q,Smartphones,Acer,Black,Metal Build,2274.01,179,B000,8,H
B000W5H574,B000,W,W5,W5H,574,Smartphones,Western Digital,Blue,Metal Build,707.73,266,B000,W,H
B0008FUCL4,B000,8,8F,8FU,CL4,Smartphones,Acer,Teal,Ultra HD,2318.81,375,B000,8,U
B0009W9P8M,B000,9,9W,9W9,P8M,Smartphones,Microsoft,Onyx,Pro Camera System,2226.71,357,B000,9,9
B00001QEAE,B000,0,01,01Q,EAE,Smartphones,Generic,White,Quantum Display,2333.24,345,B000,0,Q
B000KEJFUW,B000,K,KE,KEJ,FUW,Smartphones,Kodak,Lime,JBL-Tuned Audio,259.38,354,B000,K,J
B000RG30CM,B000,R,RG,RG3,0CM,Smartphones,Razer,Magenta,AMOLED Display,1396.62,379,B000,R,3
B000PHOFZE,B000,P,PH,PHO,FZE,Smartphones,Panasonic,Lavender,Optical Zoom,2020.45,263,B000,P,O
B0002Q22Z8,B000,2,2Q,2Q2,2Z8,Smartphones,Samsung,Slate,High Refresh Rate,2210.61,169,B000,2,2
B000WGS5B8,B000,W,WG,WGS,5B8,Smartphones,Western Digital,Magenta,Stereo Speakers,1084.56,371,B000,W,S
B0002J1QO8,B000,2,2J,2J1,QO8,Smartphones,Samsung,Graphite,Wireless Charging,1185.23,294,B000,2,1
B000K7NM3A,B000,K,K7,K7N,M3A,Smartphones,Kodak,Purple,Noise Reduction,766.14,155,B000,K,N
B000GIOA5C,B000,G,GI,GIO,A5C,Smartphones,GoPro,Charcoal,Optical Zoom,972.27,167,B000,G,O
B000JMDQGO,B000,J,JM,JMD,QGO,Smartphones,JBL,Burgundy,Gaming Optimized,725.6,258,B000,J,D
B00069UF4G,B000,6,69,69U,F4G,Smartphones,Lenovo,Brown,Ultra HD,769.1,172,B000,6,U
B000B76PME,B000,B,B7,B76,PME,Smartphones,Unknown,Purple,Water Resistant,1161.77,484,B000,B,6
B000Y8K8U0,B000,Y,Y8,Y8K,8U0,Smartphones,Yamaha,Pink,Kinetic Charging,1354.64,261,B000,Y,K
B000A2AL1G,B000,A,A2,A2A,L1G,Smartphones,Google,Silver,Touchscreen,1523.12,480,B000,A,A
B000F1WDSG,B000,F,F1,F1W,DSG,Smartphones,Fujifilm,White,Waterproof,2744.14,137,B000,F,W
